id,scientificName,year,month,day,county,Latitude,Longitude,genus,species,family
UCR35007,Parkinsonia aculeata,1974,6,28,Riverside,33.78333,-116.95,Parkinsonia,Parkinsonia aculeata,Fabaceae
UCR34685,Rumex salicifolius,1981,8,6,Modoc,41.38222,-120.21889,Rumex,Rumex salicifolius,Polygonaceae
UCR35004,Frasera parryi,1972,6,26,Riverside,33.63333,-116.65,Frasera,Frasera parryi,Gentianaceae
UC1753615,Lycopodium clavatum,2000,6,23,Sonoma,38.7201,-123.4537,Lycopodium,Lycopodium clavatum,Lycopodiaceae
UC1753617,Chamaesyce ocellata subsp. rattanii,1993,10,17,Tehama,40.024,-122.5158,Chamaesyce,Euphorbia ocellata,Euphorbiaceae
UCR34689,Penstemon gracilentus,1981,8,6,Modoc,41.38222,-120.21889,Penstemon,Penstemon gracilentus,Plantaginaceae
UCR35008,Psorothamnus arborescens var. simplicifolius,1968,6,3,Riverside,33.70833,-116.86667,Psorothamnus,Psorothamnus arborescens,Fabaceae
UC1753616,Senecio jacobaea,1965,7,20,Mendocino,39.448,-123.81318,Senecio,Jacobaea vulgaris,Asteraceae
UCR34688,Phleum alpinum,1981,8,6,Modoc,41.38222,-120.21889,Phleum,Phleum alpinum,Poaceae
UC1070095,Rafinesquia neomexicana,1934,3,28,Kern,35.322323,-117.978745,Rafinesquia,Rafinesquia neomexicana,Asteraceae
UC1129810,Medicago sativa,1936,7,9,San Luis Obispo,34.9515,-119.6291,Medicago,Medicago sativa,Fabaceae
UC217990,Cryptantha pterocarya,1922,5,14,San Bernardino,35.3964,-117.2472,Cryptantha,Cryptantha pterocarya,Boraginaceae
UC648679,Ericameria parryi var. monocephala,1937,8,5,Mono,37.9713,-119.2978,Ericameria,Ericameria parryi,Asteraceae
UC768825,Mimulus nasutus,1935,3,15,Stanislaus,37.70785,-120.85355,Mimulus,Mimulus nasutus,Phrymaceae
UCR215532,Ribes roezlii,2009,5,21,San Bernardino,34.16247,-116.91636,Ribes,Ribes roezlii,Grossulariaceae
UC1070094,Rafinesquia neomexicana,1937,3,23,Riverside,33.8251,-116.3448,Rafinesquia,Rafinesquia neomexicana,Asteraceae
UC1129811,Medicago sativa,1936,6,4,Calaveras,38.165653,-120.67268,Medicago,Medicago sativa,Fabaceae
UC1302410,Orobanche cooperi,1964,4,10,Imperial,32.9947,-115.05711,Orobanche,Orobanche cooperi,Orobanchaceae
UC1727855,Youngia japonica,1995,3,20,Riverside,33.95,-117.333336,Youngia,Youngia japonica,Asteraceae
UC217991,Linanthus dichotomus,1922,5,15,San Bernardino,35.3966,-117.2466,Linanthus,Linanthus dichotomus,Polemoniaceae
UCR215533,Ceanothus cordulatus,2009,5,21,San Bernardino,34.16247,-116.91636,Ceanothus,Ceanothus cordulatus,Rhamnaceae
UC1070097,Raillardella argentea,1936,9,8,Alpine,38.3464424,-119.6586,Raillardella,Raillardella argentea,Asteraceae
UC1129812,Medicago sativa,1935,9,25,Tuolumne,37.966,-119.6888,Medicago,Medicago sativa,Fabaceae
UC1302413,Fagonia laevis,1964,4,11,Imperial,32.84206,-114.753586,Fagonia,Fagonia laevis,Zygophyllaceae
UC1727856,Layia glandulosa,1971,5,1,Ventura,34.6,-119.31778,Layia,Layia glandulosa,Asteraceae
UC217992,Encelia actoni,1922,5,14,San Bernardino,35.4347,-117.2327,Encelia,Encelia actonii,Asteraceae
UC768827,Mimulus microphyllus,1939,4,18,Sonoma,38.4075,-122.94722,Mimulus,Mimulus microphyllus,Phrymaceae
UCR172208,Bowlesia incana,2006,5,2,Riverside,33.58556,-117.11806,Bowlesia,Bowlesia incana,Apiaceae
UCR215530,Tauschia parishii,2009,5,19,San Bernardino,34.20853,-116.88997,Tauschia,Tauschia parishii,Apiaceae
UC1070096,Raillardella argentea,1936,8,19,Alpine,38.3582986,-119.6643494,Raillardella,Raillardella argentea,Asteraceae
UC1129813,Melilotus albus,1935,6,13,Ventura,34.5187,-118.753,Melilotus,Melilotus albus,Fabaceae
